"gene_id" "GSM158644.CEL"
"1007_s_at" 11.0295
"1294_at" 8.52705
"1773_at" 6.77503
"200012_x_at" 12.847
"200018_at" 13.3874
"200031_s_at" 12.8433
"200033_at" 10.1213
"200038_s_at" 12.9555
"200041_s_at" 9.0252
"200044_at" 11.3228
"200065_s_at" 10.0075
"200080_s_at" 12.4461
"200088_x_at" 13.1612
"200089_s_at" 11.9346
"200097_s_at" 9.01079
"200099_s_at" 11.5487
"200598_s_at" 6.52968
"200599_s_at" 9.24949
"200622_x_at" 7.69827
"200623_s_at" 8.12795
"200624_s_at" 8.65831
"200626_s_at" 9.35563
"200647_x_at" 12.0017
"200651_at" 11.1276
"200653_s_at" 7.62521
"200655_s_at" 10.5442
"200689_x_at" 12.6153
"200705_s_at" 12.671
"200715_x_at" 12.9911
"200716_x_at" 12.3155
"200724_at" 7.21368
"200725_x_at" 13.2077
"200753_x_at" 7.67239
"200754_x_at" 10.7202
"200772_x_at" 8.66709
"200775_s_at" 10.3846
"200799_at" 12.8334
"200800_s_at" 9.69351
"200858_s_at" 10.687
"200869_at" 9.19745
"200874_s_at" 7.7079
"200875_s_at" 8.90486
"200885_at" 9.03007
"200888_s_at" 11.7701
"200909_s_at" 11.6993
"200912_s_at" 11.8954
"200937_s_at" 11.0992
"200949_x_at" 11.4049
"200997_at" 8.50598
"201001_s_at" 8.47601
"201002_s_at" 9.79754
"201003_x_at" 10.195
"201065_s_at" 9.51352
"201077_s_at" 10.0941
"201103_x_at" 9.47909
"201104_x_at" 8.79679
"201132_at" 7.88133
"201154_x_at" 12.0693
"201217_x_at" 13.2062
"201257_x_at" 13.4168
"201265_at" 7.10248
"201268_at" 10.6467
"201293_x_at" 11.8793
"201318_s_at" 9.64745
"201406_at" 10.9541
"201422_at" 9.80304
"201478_s_at" 7.30533
"201479_at" 10.1327
"201522_x_at" 9.47411
"201530_x_at" 10.6749
"201544_x_at" 9.92203
"201545_s_at" 6.86919
"201601_x_at" 10.1683
"201638_s_at" 7.40288
"201639_s_at" 7.64041
"201698_s_at" 8.55866
"201812_s_at" 11.0368
"201894_s_at" 8.97812
"201921_at" 10.3031
"201973_s_at" 9.89326
"202039_at" 7.7238
"202090_s_at" 10.5707
"202189_x_at" 11.0383
"202233_s_at" 9.9729
"202265_at" 10.2387
"202314_at" 7.77059
"202327_s_at" 6.27979
"202328_s_at" 7.84777
"202350_s_at" 6.50502
"202372_at" 8.78154
"202373_s_at" 9.21084
"202374_s_at" 7.09423
"202397_at" 7.52682
"202398_at" 7.52882
"202399_s_at" 10.1671
"202410_x_at" 7.02121
"202493_x_at" 6.21442
"202576_s_at" 8.14559
"202581_at" 11.1668
"202632_at" 9.13389
"202648_at" 8.99026
"202681_at" 9.83779
"202712_s_at" 8.18229
"202730_s_at" 7.91167
"202731_at" 6.84362
"202740_at" 8.77905
"202759_s_at" 8.65803
"202760_s_at" 5.66355
"202846_s_at" 9.07691
"202918_s_at" 7.33769
"202938_x_at" 7.69263
"202982_s_at" 8.07383
"203034_s_at" 12.0718
"203074_at" 10.091
"203107_x_at" 13.6176
"203112_s_at" 7.39315
"203189_s_at" 6.06671
"203190_at" 8.49939
"203274_at" 8.23043
"203281_s_at" 8.65003
"203326_x_at" 8.13063
"203359_s_at" 9.48968
"203360_s_at" 7.73467
"203361_s_at" 9.30072
"203433_at" 7.69132
"203461_at" 7.11599
"203463_s_at" 6.46577
"203464_s_at" 7.4976
"203483_at" 6.36013
"203507_at" 7.19794
"203581_at" 8.93553
"203582_s_at" 6.03542
"203670_at" 6.41944
"203707_at" 8.1105
"203742_s_at" 7.65945
"203799_at" 7.80564
"203807_x_at" 6.47235
"203819_s_at" 4.99758
"203852_s_at" 5.84649
"203890_s_at" 6.20345
"203891_s_at" 5.63304
"203893_at" 7.32166
"203924_at" 7.93213
"203986_at" 6.89679
"204006_s_at" 5.71186
"204018_x_at" 9.80769
"204030_s_at" 7.4689
"204060_s_at" 6.3799
"204132_s_at" 5.71344
"204145_at" 8.5125
"204148_s_at" 7.76492
"204289_at" 6.49737
"204296_at" 5.40883
"204347_at" 6.38259
"204348_s_at" 8.53971
"204358_s_at" 6.89228
"204359_at" 6.45536
"204383_at" 7.15833
"204403_x_at" 7.21644
"204419_x_at" 7.30705
"204486_at" 5.31774
"204532_x_at" 7.88722
"204534_at" 5.92887
"204537_s_at" 6.83983
"204561_x_at" 7.69307
"204670_x_at" 9.85579
"204692_at" 8.62985
"204737_s_at" 4.28343
"204760_s_at" 7.60036
"204764_at" 6.99561
"204820_s_at" 10.0602
"204848_x_at" 7.67239
"204849_at" 7.52579
"204919_at" 6.11489
"204961_s_at" 6.3741
"204962_s_at" 6.3573
"205013_s_at" 6.46857
"205033_s_at" 6.16088
"205041_s_at" 5.29873
"205048_s_at" 4.56811
"205058_at" 6.55302
"205106_at" 6.56407
"205114_s_at" 7.1807
"205122_at" 4.71352
"205123_s_at" 4.42899
"205124_at" 7.38745
"205144_at" 7.62046
"205157_s_at" 7.16862
"205200_at" 5.68419
"205272_s_at" 7.34732
"205347_s_at" 8.94053
"205387_s_at" 5.41401
"205392_s_at" 8.31076
"205611_at" 6.98463
"205616_at" 7.9979
"205634_x_at" 8.36985
"205717_x_at" 9.28716
"205787_x_at" 8.50379
"205788_s_at" 10.1865
"205812_s_at" 11.1963
"205821_at" 8.0355
"205860_x_at" 7.2515
"205871_at" 5.45571
"205890_s_at" 8.65264
"205905_s_at" 6.69671
"205931_s_at" 5.66027
"205955_at" 7.03745
"205967_at" 9.11309
"205971_s_at" 6.03072
"205980_s_at" 9.21652
"206042_x_at" 7.78309
"206088_at" 6.46031
"206090_s_at" 7.52327
"206093_x_at" 8.65329
"206094_x_at" 8.11167
"206272_at" 8.03587
"206286_s_at" 6.38707
"206287_s_at" 7.60638
"206302_s_at" 9.03475
"206318_at" 4.92108
"206319_s_at" 7.1134
"206397_x_at" 5.87383
"206400_at" 5.87182
"206446_s_at" 4.74825
"206447_at" 5.2164
"206467_x_at" 6.79803
"206475_x_at" 6.60665
"206512_at" 6.52826
"206514_s_at" 6.91978
"206516_at" 7.0659
"206548_at" 6.2979
"206640_x_at" 5.47852
"206655_s_at" 6.10485
"206659_at" 6.38594
"206738_at" 6.98204
"206742_at" 7.22851
"206754_s_at" 8.52694
"206777_s_at" 7.44396
"206785_s_at" 4.78117
"206791_s_at" 8.27067
"206792_x_at" 10.0429
"206809_s_at" 8.70621
"206810_at" 4.85559
"206819_at" 6.83692
"206848_at" 7.28752
"206889_at" 7.85192
"206909_at" 4.97086
"206922_at" 7.83161
"206936_x_at" 8.37885
"206951_at" 8.0089
"206955_at" 7.70958
"206956_at" 5.99631
"206962_x_at" 6.58568
"206963_s_at" 7.22665
"206969_at" 6.7174
"207003_at" 8.39044
"207046_at" 5.88134
"207047_s_at" 7.00611
"207086_x_at" 6.80149
"207096_at" 6.52695
"207110_at" 5.17106
"207118_s_at" 6.18306
"207126_x_at" 8.39333
"207131_x_at" 7.67208
"207156_at" 4.77521
"207169_x_at" 10.0085
"207188_at" 6.92997
"207222_at" 6.70555
"207243_s_at" 13.0319
"207247_s_at" 4.86778
"207273_at" 4.36693
"207313_x_at" 6.34782
"207356_at" 8.39361
"207371_at" 4.67451
"207414_s_at" 7.83344
"207417_s_at" 6.13837
"207428_x_at" 7.78717
"207434_s_at" 5.92922
"207436_x_at" 8.67768
"207461_at" 4.71018
"207463_x_at" 7.12886
"207470_at" 5.03025
"207479_at" 4.85674
"207481_at" 4.77983
"207487_at" 4.43066
"207488_at" 6.52217
"207493_x_at" 7.31892
"207524_at" 9.16767
"207548_at" 5.37236
